"id","age","apiId","appearances","assists","birthCountry","birthDate","birthPlace","fantasyPoints","fantasyPrice","firstname","goals","height","injuryDetails","isInjured","lastname","minutes","name","nationality","number","photo","position","rating","redCards","teamApiId","teamName","weight","yellowCards"
"284457","21","284457","0","0","Netherlands","2004-01-05","","0","4","Lamare Trenton","0","183 cm","","false","Chansey Bogarde","0","L. Bogarde","Netherlands","0","https://media.api-sports.io/football/players/284457.png","Defender","6.0","0","66","Aston Villa","76 kg","0"
"8661","26","8661","0","2","Brazil","1999-07-23","Belo Horizonte","0","4.4","Victor Alexander","0","175 cm","","false","da Silva","2318","Vitinho","Brazil","0","https://media.api-sports.io/football/players/8661.png","Defender","6.0","0","44","Burnley","72 kg","1"
"281975","22","281975","0","0","Republic of Ireland","2003-02-14","","0","4","Val","0","","","false","Adedokun","0","Val Adedokun","Republic of Ireland","0","https://media.api-sports.io/football/players/281975.png","Defender","6.0","0","55","Brentford","","0"
"327728","21","327728","0","0","England","2004-10-11","","0","4","Delano","0","","","false","McCoy-Splatt","0","Delano McCoy-Splatt\t","Jamaica","0","https://media.api-sports.io/football/players/327728.png","Midfielder","6.0","0","36","Fulham","","0"
"207","36","207","0","1","Croatia","1989-02-02","Split","0","4.2","Ivan","0","186 cm","","false","Perišić","98","I. Perišić","Croatia","0","https://media.api-sports.io/football/players/207.png","Attacker","6.0","0","47","Tottenham","80 kg","2"
"26232","32","26232","0","1","Netherlands","1993-06-13","Bocholtz","0","4.2","Mark","0","195 cm","","false","Flekken","3286","M. Flekken","Netherlands","0","https://media.api-sports.io/football/players/26232.png","Goalkeeper","6.0","0","55","Brentford","87 kg","3"
"17715","27","17715","0","0","England","1998-09-08","London","0","4","Steven","0","180 cm","","false","Alzate","0","S. Alzate","Colombia","0","https://media.api-sports.io/football/players/17715.png","Midfielder","6.0","0","51","Brighton","75 kg","0"
"19299","36","19299","0","0","England","1989-10-24","Killingworth","0","4","Jack Raymond","0","177 cm","","false","Colback","0","J. Colback","England","0","https://media.api-sports.io/football/players/19299.png","Midfielder","6.0","0","65","Nottingham Forest","77 kg","0"
"284366","21","284366","0","0","England","2004-06-24","","0","4","Luke","0","181 cm","","false","Chambers","0","L. Chambers","England","0","https://media.api-sports.io/football/players/284366.png","Defender","6.0","0","40","Liverpool","","0"
"308867","21","308867","0","0","Republic of Ireland","2004-01-08","","0","4","Seán","0","","","false","Grehan","0","S. Grehan","Republic of Ireland","0","https://media.api-sports.io/football/players/308867.png","Defender","6.0","0","52","Crystal Palace","","0"
"328118","21","328118","0","0","England","2004-10-21","","0","4","Matthew","0","","","false","Whittingham","0","Matthew Whittingham","England","0","https://media.api-sports.io/football/players/328118.png","Midfielder","6.0","0","39","Wolves","","0"
"19076","27","19076","0","0","England","1998-01-25","Luton","0","4","Jamal Piaras","0","178 cm","","false","Lewis","0","J. Lewis","Northern Ireland","0","https://media.api-sports.io/football/players/19076.png","Defender","6.0","0","34","Newcastle","70 kg","0"
"323449","23","323449","0","0","Belgium","2002-03-06","Baghdad","0","4.3","Ameen","1","187 cm","","false","Al Dakhil","1056","A. Al Dakhil","Belgium","0","https://media.api-sports.io/football/players/323449.png","Defender","6.0","0","44","Burnley","70 kg","1"
"284523","21","284523","0","0","Netherlands","2004-01-06","","0","4","Sil","0","190 cm","","false","Laurentius Swinkels","0","S. Swinkels","Netherlands","0","https://media.api-sports.io/football/players/284523.png","Defender","6.0","0","66","Aston Villa","78 kg","0"
"68127","26","68127","0","0","England","1999-11-03","Alnwick","0","4","Kelland John William James","0","192 cm","","false","Watts","0","K. Watts","England","0","https://media.api-sports.io/football/players/68127.png","Defender","6.0","0","34","Newcastle","75 kg","0"
"303016","21","303016","0","0","England","2004-11-07","Manchester","0","4","Maximillian","0","180 cm","","false","Oyedele","0","M. Oyedele","Poland","0","https://media.api-sports.io/football/players/303016.png","Midfielder","6.0","0","33","Manchester United","70 kg","0"
"279","24","279","0","0","Cameroon","2001-06-13","Souza Gare","0","4","Loïc Junior","0","186 cm","","false","Mbe Soh","0","L. Mbe Soh","France","0","https://media.api-sports.io/football/players/279.png","Defender","6.0","0","65","Nottingham Forest","81 kg","0"
"889","31","889","0","1","Sweden","1994-07-17","Västerås","0","4.5","Victor Jörgen","1","187 cm","","false","Nilsson Lindelöf","1331","V. Lindelöf","Sweden","0","https://media.api-sports.io/football/players/889.png","Defender","6.0","0","33","Manchester United","80 kg","2"
"83029","26","83029","0","0","England","1999-03-05","Chertsey","0","4","Joshua Luke","0","184 cm","","false","Bowler","0","J. Bowler","England","0","https://media.api-sports.io/football/players/83029.png","Midfielder","6.0","0","65","Nottingham Forest","69 kg","0"
"329362","20","329362","0","0","England","2005-01-09","","0","4","Joshua Alan","0","","","false","Powell","0","Joshua Alan Powell","England","0","https://media.api-sports.io/football/players/329362.png","Defender","6.0","0","65","Nottingham Forest","","0"
"900","33","900","0","0","England","1992-12-15","Warrington","0","4","Jesse Ellis","0","175 cm","","false","Lingard","0","J. Lingard","England","0","https://media.api-sports.io/football/players/900.png","Midfielder","6.0","0","65","Nottingham Forest","62 kg","0"
"138843","24","138843","0","0","England","2001-01-14","","0","4","James Andrew","0","187 cm","","false","Hillson","0","J. Hillson","England","0","https://media.api-sports.io/football/players/138843.png","Goalkeeper","6.0","0","42","Arsenal","79 kg","0"
